lab_id,sample_id,tab,outcome,reason,date
031926-31522,35041,Due Out,Good,,2026-03-24
031926-31521,35040,Due Out,Good,,2026-03-24
031926-31603,35039,Due Out,Good,,2026-03-24
031926-31602,35038,Due Out,Good,,2026-03-24
031926-31601,35037,Due Out,Good,,2026-03-24
031926-31600,35036,Due Out,Good,,2026-03-24
031926-31599,35035,Due Out,Good,,2026-03-24
031926-31598,35034,Due Out,Good,,2026-03-24
031926-31597,35033,Due Out,Good,,2026-03-24
031926-31596,35032,Due Out,Good,,2026-03-24
031926-31595,35031,Due Out,Good,,2026-03-24
031926-31594,35030,Due Out,Good,,2026-03-24
031926-31593,35029,Due Out,Good,,2026-03-24
031926-31592,35028,Due Out,Good,,2026-03-24
031926-31591,35027,Due Out,Good,,2026-03-24
031926-31590,35026,Due Out,Good,,2026-03-24
031926-31589,35025,Due Out,Good,,2026-03-24
031926-31588,35024,Due Out,Good,,2026-03-24
031926-31587,35023,Due Out,Good,,2026-03-24
031926-31586,35022,Due Out,Good,,2026-03-24
031926-31585,35021,Due Out,Good,,2026-03-24
031926-31584,35020,Due Out,Good,,2026-03-24
031926-31583,35019,Due Out,Good,,2026-03-24
031926-31582,35018,Due Out,Good,,2026-03-24
031926-31581,35017,Due Out,Good,,2026-03-24
031926-31580,35016,Due Out,Good,,2026-03-24
031926-31579,35015,Due Out,Good,,2026-03-24
031926-31578,35014,Due Out,Good,,2026-03-24
031926-31577,35013,Due Out,Good,,2026-03-24
031926-31576,35012,Due Out,Good,,2026-03-24
031926-31554,35011,Due Out,Good,,2026-03-24
031926-31553,35010,Due Out,Good,,2026-03-24
031926-31552,35009,Due Out,Good,,2026-03-24
031926-31551,35008,Due Out,Good,,2026-03-24
031926-31550,35007,Due Out,Good,,2026-03-24
031926-31549,35006,Due Out,Good,,2026-03-24
031926-31548,35005,Due Out,Good,,2026-03-24
031926-31547,35004,Due Out,Good,,2026-03-24
031926-31546,35003,Due Out,Good,,2026-03-24
031926-31545,35002,Due Out,Good,,2026-03-24
031926-31544,35001,Due Out,Good,,2026-03-24
031926-31543,35000,Due Out,Good,,2026-03-24
031926-31542,34999,Due Out,Good,,2026-03-24
031926-31541,34998,Due Out,Good,,2026-03-24
031926-31540,34997,Due Out,Good,,2026-03-24
031926-31539,34996,Due Out,Good,,2026-03-24
031926-31529,34995,Due Out,Good,,2026-03-24
031926-31528,34994,Due Out,Good,,2026-03-24
031926-31527,34993,Due Out,Good,,2026-03-24
031926-31526,34992,Due Out,Good,,2026-03-24
031926-31525,34991,Due Out,Good,,2026-03-24
031926-31523,34863,Due Out,Good,,2026-03-24
031926-31538,34761,Due Out,Good,,2026-03-24
031926-31575,34760,Due Out,Good,,2026-03-24
031926-31574,34759,Due Out,Good,,2026-03-24
031926-31573,34758,Due Out,Good,,2026-03-24
031926-31572,34757,Due Out,Good,,2026-03-24
031926-31571,34756,Due Out,Good,,2026-03-24
031926-31570,34755,Due Out,Good,,2026-03-24
031926-31569,34754,Due Out,Good,,2026-03-24
031926-31568,34753,Due Out,Good,,2026-03-24
031926-31567,34752,Due Out,Good,,2026-03-24
031926-31566,34751,Due Out,Good,,2026-03-24
031926-31565,34750,Due Out,Good,,2026-03-24
031926-31564,34749,Due Out,Good,,2026-03-24
031926-31563,34748,Due Out,Good,,2026-03-24
031926-31562,34747,Due Out,Good,,2026-03-24
031926-31561,34746,Due Out,Good,,2026-03-24
031926-31560,34745,Due Out,Good,,2026-03-24
031926-31559,34744,Due Out,Good,,2026-03-24
031926-31558,34743,Due Out,Good,,2026-03-24
031926-31557,34742,Due Out,Good,,2026-03-24
031926-31556,34741,Due Out,Good,,2026-03-24
031926-31625,34740,Due Out,Good,,2026-03-24
031926-31624,34739,Due Out,Good,,2026-03-24
031926-31623,34738,Due Out,Good,,2026-03-24
031926-31622,34737,Due Out,Good,,2026-03-24
031926-31621,34736,Due Out,Good,,2026-03-24
031926-31620,34735,Due Out,Good,,2026-03-24
031926-31619,34734,Due Out,Good,,2026-03-24
031926-31618,34733,Due Out,Good,,2026-03-24
031926-31617,34732,Due Out,Good,,2026-03-24
031926-31616,34731,Due Out,Good,,2026-03-24
031926-31615,34730,Due Out,Good,,2026-03-24
031926-31614,34729,Due Out,Good,,2026-03-24
031926-31613,34728,Due Out,Good,,2026-03-24
031926-31612,34727,Due Out,Good,,2026-03-24
031926-31611,34726,Due Out,Good,,2026-03-24
031926-31610,34725,Due Out,Good,,2026-03-24
031926-31609,34724,Due Out,Good,,2026-03-24
031926-31608,34723,Due Out,Good,,2026-03-24
031926-31607,34722,Due Out,Good,,2026-03-24
031926-31606,34721,Due Out,Good,,2026-03-24
031926-31605,34720,Due Out,Good,,2026-03-24
031926-31537,34719,Due Out,Good,,2026-03-24
031926-31536,34718,Due Out,Good,,2026-03-24
031926-31535,34717,Due Out,Good,,2026-03-24
031926-31534,34716,Due Out,Good,,2026-03-24
031926-31533,34715,Due Out,Good,,2026-03-24
031926-31532,34714,Due Out,Good,,2026-03-24
031926-31604,34713,Due Out,Good,,2026-03-24
031926-31531,34712,Due Out,Good,,2026-03-24
031926-31530,34711,Due Out,Good,,2026-03-24
031926-31555,34710,Due Out,Good,,2026-03-24
031926-31524,33481,Due Out,Good,,2026-03-24
031926-31522,35041,Due Out,Good,,2026-03-24

QBench Good Samples View:
https://asaplabs.qbench.net/tests?sample_ids=35041&sample_ids=35040&sample_ids=35039&sample_ids=35038&sample_ids=35037&sample_ids=35036&sample_ids=35035&sample_ids=35034&sample_ids=35033&sample_ids=35032&sample_ids=35031&sample_ids=35030&sample_ids=35029&sample_ids=35028&sample_ids=35027&sample_ids=35026&sample_ids=35025&sample_ids=35024&sample_ids=35023&sample_ids=35022&sample_ids=35021&sample_ids=35020&sample_ids=35019&sample_ids=35018&sample_ids=35017&sample_ids=35016&sample_ids=35015&sample_ids=35014&sample_ids=35013&sample_ids=35012&sample_ids=35011&sample_ids=35010&sample_ids=35009&sample_ids=35008&sample_ids=35007&sample_ids=35006&sample_ids=35005&sample_ids=35004&sample_ids=35003&sample_ids=35002&sample_ids=35001&sample_ids=35000&sample_ids=34999&sample_ids=34998&sample_ids=34997&sample_ids=34996&sample_ids=34995&sample_ids=34994&sample_ids=34993&sample_ids=34992&sample_ids=34991&sample_ids=34863&sample_ids=34761&sample_ids=34760&sample_ids=34759&sample_ids=34758&sample_ids=34757&sample_ids=34756&sample_ids=34755&sample_ids=34754&sample_ids=34753&sample_ids=34752&sample_ids=34751&sample_ids=34750&sample_ids=34749&sample_ids=34748&sample_ids=34747&sample_ids=34746&sample_ids=34745&sample_ids=34744&sample_ids=34743&sample_ids=34742&sample_ids=34741&sample_ids=34740&sample_ids=34739&sample_ids=34738&sample_ids=34737&sample_ids=34736&sample_ids=34735&sample_ids=34734&sample_ids=34733&sample_ids=34732&sample_ids=34731&sample_ids=34730&sample_ids=34729&sample_ids=34728&sample_ids=34727&sample_ids=34726&sample_ids=34725&sample_ids=34724&sample_ids=34723&sample_ids=34722&sample_ids=34721&sample_ids=34720&sample_ids=34719&sample_ids=34718&sample_ids=34717&sample_ids=34716&sample_ids=34715&sample_ids=34714&sample_ids=34713&sample_ids=34712&sample_ids=34711&sample_ids=34710&sample_ids=33481&sample_ids=35041&sort_order=DESC&view_config_id=17&page_size=700
